Zone,State,City,Name,Type,,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Image URL,architectural_style,,latitude,longitude
Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,,8th century CE (reconstruction by Adi Shankara),1.5,4.8,0,No,,Religious,No,2,All,https://badrinath-kedarnath.gov.in/css_js_2024/img/kedarnath-4k.jpg,Nagara,,30.7338877,79.0669073
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,,1831,1,4.7,0,Yes,,Religious,No,0.33,All,https://upload.wikimedia.org/wikipedia/commons/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg,Hindu Temple,,19.054999,72.8692035
Southern,Telangana,Hyderabad,Birla Mandir,Temple,,1976,1,4.7,0,Yes,,Religious,No,0.41,All,https://upload.wikimedia.org/wikipedia/commons/3/3c/Birla_Mandir%2C_Hyderabad.png,Modern Hindu Temple,,17.360589,78.4740613
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,,1855,1,4.7,0,Yes,,Religious,Yes,0.82,Morning,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG/800px-Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG,Navaratna,,22.5726459,88.3638953
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,,-400,2,4.7,0,No,,Religious,No,0.59,Evening,https://upload.wikimedia.org/wikipedia/commons/a/a2/Dwarkadheesh_temple.jpg,Māru-Gurjara architecture,,22.2424747,68.9671448
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,,501,1,4.7,0,Yes,,Religious,No,0.46,All,https://upload.wikimedia.org/wikipedia/commons/d/d2/Sree_Padmanabhaswamy_temple_01.jpg,Kerala,,8.4882267,76.947551
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,,"Ancient origins, significantly rebuilt and expanded in the 21st century.",1,4.7,0,Yes,,Religious,No,0.49,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/73/8a/ad/murudeshwar.jpg?w=1200&h=1200&s=1,Dravidian,,15.3410864,75.1197114
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,,1121,1,4.7,15,No,,Religious,No,0.11,All,https://media.meer.com/attachments/f7d6921ad0115a039e4a410081b28c60ab3f1564/store/fill/1090/613/b732c147bc434b3a19581501d1cbdcce7757cfefe3a28a417e8e9f9c9e03/An-entrance-into-the-Hoysaleshwara-temple-in-Halebidu.jpg,Hoysala,,12.5923947,76.6913469
Western,Maharastra,Shirdi,Sai Baba Temple,Temple,,1922,1.5,4.7,0,Yes,,Religious,No,0.69,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ab/9c/b1/shirdi-sai-baba-mandir.jpg?w=1200&h=-1&s=1,Wada,,19.7668121,74.4754386
Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,,1600,1,4.7,0,No,,Religious,No,0.1,All,https://www.ganpatipule.co.in/images/slider/5.jpg,Konkan,,17.2826079,73.4569787
Western,Maharashtra,Ajanta,Ellora Caves,Cave,,600,3,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon,https://whc.unesco.org/uploads/thumbs/site_0243_0001-1200-630-20151104152442.jpg,Rock-cut,,20.532524,75.7513692
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,,-850,2,4.7,40,No,,Cultural,Yes,0.09,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Khajuraho_Group_of_Monuments_4.jpg/1200px-Khajuraho_Group_of_Monuments_4.jpg,Nagara,,24.8515132,79.9259786
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,,-300,1.5,4.7,30,Yes,,Historical,Yes,0.01,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG/250px-East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG,"Buddhist, Mauryan",,23.2584857,77.401989
Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,,1959,1.5,4.7,0,Yes,,Religious,No,0.15,All,https://customtoursindia.com/wp-content/uploads/2024/07/Visiting-Dharamshala-Home-of-the-Dalai-Lama-in-India.webp,Tibetan,,32.5435755,75.9448409
Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,,"Late 18th century (current structure), with ancient origins.",1,4.7,0,Yes,,Religious,No,0.9,All,https://upload.wikimedia.org/wikipedia/commons/f/ff/Kashi_Vishwanath.jpg,Nagara style,,25.3356491,83.0076292
Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,,Gupta Period (4th-5th century CE) for the earliest historically attested major temple.,1,4.7,0,Yes,,Religious,No,0.13,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/90/3e/20/img-20160817-122832-largejpg.jpg?w=1200&h=1200&s=1,Nagara style,,27.4955539,77.6855554
Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,,Approximate 8th century CE (suggested period for its establishment as a major pilgrimage site).,5,4.7,0,Yes,,Religious,No,0.55,All,https://upload.wikimedia.org/wikipedia/commons/c/c8/Vaishno_devi.jpg,Cave Temple,,32.7185614,74.8580917
Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,,19th century,0.5,4.7,0,Yes,,Religious,No,0.045,All,https://upload.wikimedia.org/wikipedia/commons/4/4e/Kankalitala_Temple_complex%2C_Birbhum%2C_West_Bengal_05.jpg,At Chala style (or Traditional Bengali),,23.661154,87.6962424
Eastern,Odisha,Puri,Jagannath Temple,Temple,,12th century,2,4.7,0,Yes,,Religious,No,1,All,http://pujacraft.com/cdn/shop/articles/PTI04_24_2021_000120A_1619272465136_1641572422757.webp?v=1686066690,Kalinga architecture,,19.8076083,85.8252538
Eastern,Odisha,Konark,Sun Temple,Temple,,1250,1.5,4.7,40,Yes,,Historical,Yes,0.83,All,https://upload.wikimedia.org/wikipedia/commons/4/47/Konarka_Temple.jpg,Kalinga architecture,,19.9074292,86.1420195
Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,,6th century AD,2,4.7,0,Yes,,Religious,No,0.65,All,https://lookaside.instagram.com/seo/google_widget/crawler/?media_id=3539467584758186787,Nayaka style,,9.9261153,78.1140983
Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,,12th century,1,4.7,0,Yes,,Religious,No,0.3,All,https://upload.wikimedia.org/wikipedia/commons/4/46/Maruthamalai_Rajagopuram_1.jpg,Dravidian,,11.0018115,76.9628425
Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,,10th century,1,4.7,0,Yes,,Religious,No,0.28,All,https://upload.wikimedia.org/wikipedia/commons/4/44/Le_temple_de_Shiva_Nataraja_%28Chidambaram%2C_Inde%29_%2814037020332%29.jpg,Dravidian,,11.3920706,79.703025
Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,,7th to 10th century CE (Eastern Chalukya period),1,4.7,0,Yes,,Religious,No,0.44,All,https://upload.wikimedia.org/wikipedia/commons/b/ba/Kanakadurga_Temple_gopuram.jpg,Dravidian,,16.5115306,80.6160469
Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,,14th century,1,4.7,0,No,,Religious,No,0.49,All,https://upload.wikimedia.org/wikipedia/commons/c/c0/Srisailam.jpg,Dravidian,,16.0737808,78.8727065
Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,,3rd Century BCE,1,4.7,0,Yes,,Religious,No,0.041,All,https://s7ap1.scene7.com/is/image/incredibleindia/amaralingeshwara-temple-amaravati-andhra-pradesh-1-attr-hero?qlt=82&ts=1726743722820,Amaravati Style,,16.5299984,80.5270337
Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,,198,1,4.7,0,Yes,,Religious,No,0.59,All,https://upload.wikimedia.org/wikipedia/commons/1/18/Simhachalam_temple_from_a_hilltop.jpg,Kalinga architecture,,18.1141255,83.4114389
North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,,1734,1,4.7,0,No,,Historical,Yes,0.065,All,https://upload.wikimedia.org/wikipedia/commons/7/79/Siva_Dol.JPG,Ahom architecture,,26.9834936,94.6394226
Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,,8th-9th century CE,1,4.7,0,Yes,,Religious,Yes,1.8,All,https://upload.wikimedia.org/wikipedia/commons/e/e2/Baba_Dham.jpg,Nagara style,,24.4898318,86.6990182
Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,,-260,1.5,4.7,0,Yes,,Religious,Yes,0.2,All,https://whc.unesco.org/uploads/thumbs/site_1056_0001-750-750-20120601152647.jpg,Gupta Architecture,,24.6939222,84.9839352
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,,12th to 18th Century (major expansions and current structure),1.5,4.7,0,Yes,,Religious,No,0.1,All,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ramanathaswamy_temple7.JPG/1200px-Ramanathaswamy_temple7.JPG,Dravidian,,9.2844657,79.3125553
Northern,Delhi,Delhi,Akshardham Temple,Temple,,2005,5,4.6,60,Yes,,Religious,No,0.4,Afternoon,https://i0.wp.com/singhruby.com/wp-content/uploads/2016/01/akshardham_facts_and_figure_banner.jpg,Swaminarayan architecture,,28.6138954,77.2090057
Western,Maharastra,Mumbai,Gateway of India,Monument,,1924,1,4.6,0,Yes,,Historical,Yes,3.6,All,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mumbai_03-2016_30_Gateway_of_India.jpg/800px-Mumbai_03-2016_30_Gateway_of_India.jpg,Indo-Saracenic,,19.054999,72.8692035
Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,,1922,1,4.6,500,Yes,,Historical,Yes,0.34,All,https://upload.wikimedia.org/wikipedia/commons/7/79/Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya.jpg,Indo-Saracenic,,19.054999,72.8692035
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,,1997,1,4.6,0,Yes,,Religious,Yes,1.14,Evening,https://upload.wikimedia.org/wikipedia/commons/1/11/ISKCON_Banglaore_Temple.jpg,Neo-Dravidian,,12.9767936,77.590082
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,https://upload.wikimedia.org/wikipedia/commons/7/72/Victoria_Memorial_situated_in_Kolkata.jpg,Indo-Saracenic,,22.5726459,88.3638953
Eastern,West Bengal,Kolkata,Indian Museum,Museum,,1814,2,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,https://upload.wikimedia.org/wikipedia/commons/8/8c/Indian_Museum%2C_Courtyard%2C_Kolkata%2C_India.jpg,Neoclassical,,22.5726459,88.3638953
Western,Gujarat,Kevadia,Statue of Unity,Monument,,2018,3,4.6,350,No,Monday,Historical,Yes,0.67,All,https://upload.wikimedia.org/wikipedia/commons/0/07/Statue_of_Unity.jpg,Modern Realist,,21.2947722,73.1472445
Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,,1459,2,4.6,100,Yes,,Historical,Yes,0.64,All,https://cdn.britannica.com/39/242539-050-97AFAE4E/Mehrangarh-fortress-Jodhpur-Rajasthan-India.jpg,Rajput Architecture,,26.2967719,73.0351433
Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,,700,2,4.6,40,No,,Historical,Yes,1.9,All,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Chittorgarh_fort.JPG/1200px-Chittorgarh_fort.JPG,Rajput architecture,,24.7171578,74.4718129
Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,,1100,1,4.6,0,No,,Religious,No,0.05,All,https://upload.wikimedia.org/wikipedia/commons/8/81/Delwada.jpg,Maru-Gurjara architecture,,24.592433,72.7081876
Northern,Rajasthan,Jaipur,Amber Fort,Fort,,1592,2,4.6,100,Yes,,Historical,Yes,1.5,All,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg/800px-20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg,Rajput-Mughal,,26.9154576,75.8189817
Southern,Karnataka,Mysore,Mysore Palace,Palace,,1912,2,4.6,50,Yes,,Historical,Yes,2.5,All,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Mysore_Palace_Morning.jpg/1200px-Mysore_Palace_Morning.jpg,Indo-Saracenic,,12.3051828,76.6553609
Southern,Karnataka,Badami,Badami Cave Temples,Cave,,600,1.5,4.6,30,No,,Religious,No,0.2,All,https://upload.wikimedia.org/wikipedia/commons/7/7b/Vishnu_image_inside_cave_number_3_in_Badami.jpg,Chalukyan,,15.9203874,75.6807865
Western,Maharastra,Aurangabad,Ajanta Caves,Cave,,200,3,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ajanta_%2863%29.jpg/300px-Ajanta_%2863%29.jpg,Rock-cut architecture,,19.8597998,75.3114008
Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,,-500,1,4.6,5,Yes,,Historical,Yes,0.065,All,https://upload.wikimedia.org/wikipedia/commons/0/02/Dhamek_Stupa%2C_Sarnath.jpg,Gupta,,25.3776274,83.0275999
Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,,1814,0.5,4.6,0,Yes,,Architectural,No,0.07,All,https://upload.wikimedia.org/wikipedia/commons/0/07/Hanseswari_Mandir.jpg,Bengal Temple Architecture,,22.9099403,88.0120825
Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,,11th century,1,4.6,0,Yes,,Religious,No,0.35,All,https://upload.wikimedia.org/wikipedia/commons/8/83/LINGARAJ_TEMPLE_AMLAN_BISWAL_2024.jpg,Kalinga architecture,,20.2602964,85.8394521
Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,,Ancient,1,4.6,0,Yes,,Religious,No,0.01,All,https://upload.wikimedia.org/wikipedia/commons/b/bb/Taratarini_maa.jpg,Kalinga architecture,,21.4930852,86.6327298
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,,12th century,1.5,4.6,0,No,,Religious,No,0.01,All,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ramanathaswamy_temple7.JPG/1200px-Ramanathaswamy_temple7.JPG,Dravidian architecture,,9.2844657,79.3125553
Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,,7th century,1,4.6,40,Yes,,Historical,No,0.09,All,https://upload.wikimedia.org/wikipedia/commons/7/74/Shore_Temple_-Mamallapuram_-Tamil_Nadu_-N-TN-C55.jpg,Pallava architecture,,12.6195981,80.1936497
Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,,7th century,1,4.6,0,Yes,,Religious,No,0.16,All,https://upload.wikimedia.org/wikipedia/commons/b/b8/Tirnelveli_Gandhimathiamman_Temple_Tower.JPG,Dravidian,,8.5495014,77.5805178
Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,,22,1,4.6,40,Yes,,Historical,Yes,0.49,All,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Submarine_Museum.JPG/1200px-Submarine_Museum.JPG,Naval design,,17.6935526,83.2921297
North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,,1565 AD,2,4.6,0,Yes,,Religious,No,0.21,All,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Kamakhya_Temple%2C_Guwahati.jpg/1200px-Kamakhya_Temple%2C_Guwahati.jpg,Nilachal Style,,26.1805978,91.753943
Western,Daman and Diu,Diu,Diu Fort,Fort,,1535,1.5,4.6,0,No,,Historical,Yes,1.2,Afternoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/53/f4/8e/beutiful-place.jpg?w=900&h=500&s=1,Portuguese Colonial,,20.7159534,70.9785005
Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,,Mid-19th Century (around 1845),1,4.6,0,Yes,,Religious,Yes,0.13,All,https://upload.wikimedia.org/wikipedia/commons/0/0d/Pahari_Mandir_-_Ranchi_Hill_9243.JPG,Nagara style,,23.3700501,85.3250387
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,,1572,2,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,https://whc.unesco.org/uploads/thumbs/site_0232_0005-750-750-20210425155601.jpg,Mughal,,28.6138954,77.2090057
Northern,Delhi,Delhi,Lotus Temple,Temple,,1986,1,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/LotusDelhi.jpg/800px-LotusDelhi.jpg,Expressionist,,28.6138954,77.2090057
Northern,Delhi,Delhi,Red Fort,Fort,,1648,2,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,https://cdn.britannica.com/20/189820-050-D650A54D/Red-Fort-Old-Delhi-India.jpg,Mughal architecture,,28.6138954,77.2090057
Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,,1954,3,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,https://upload.wikimedia.org/wikipedia/commons/3/31/Jaipur_House_Delhi.jpg,Lutyens's style,,28.6138954,77.2090057
Northern,Delhi,Delhi,Qutub Minar,Monument,,1192,1,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Qutb_Minar_2011.jpg/200px-Qutb_Minar_2011.jpg,Indo-Islamic,,28.6138954,77.2090057
Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,,2013,1.5,4.5,0,No,,Historical,Yes,0.05,All,https://dandi-kutir.com/wp-content/uploads/2023/07/Picture2.jpg,Contemporary Indian,,23.2232877,72.6492267
Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,,1589,2,4.5,50,Yes,,Historical,Yes,0.32,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/38/91/24/outside-of-the-fort.jpg?w=900&h=-1&s=1,Rajput and Mughal,,28.0159286,73.3171367
Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,,1726,1.5,4.5,35,Yes,,Historical,Yes,0.3,All,https://upload.wikimedia.org/wikipedia/commons/3/34/Rajasthan-Jaipur-Jaigarh-Fort-compound-Apr-2004-00.JPG,Rajput architecture,,26.9154576,75.8189817
Southern,Kerala,Bekal,Bekal Fort,Fort,,1650,1.5,4.5,20,No,,Historical,Yes,0.22,All,https://upload.wikimedia.org/wikipedia/commons/7/74/Bekal.jpg,Vijayanagara,,12.395725,75.0371916
Western,Maharastra,Nagpur,Deekshabhoomi,Monument,,2001,1,4.5,0,Yes,,Religious,Yes,0.11,Afternoon,https://upload.wikimedia.org/wikipedia/commons/3/38/Deekshabhoomi_-_panoramio.jpg,Buddhist Stupa,,21.1498134,79.0820556
Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,,900,2.5,4.5,75,Yes,,Historical,Yes,0.4,Morning,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Gwalior_Fort_front.jpg/1200px-Gwalior_Fort_front.jpg,Hindu architecture,,26.2037247,78.1573628
Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,,Medieval Period (for human recognition and legends),1.5,4.5,25,Yes,,Nature,Yes,0.01,Morning,https://d1pk12b7bb81je.cloudfront.net/thumbor/o351uGqYDHJbvUVOv7pk1r1-SrE=/full-fit-in/800x800/https://d1pk12b7bb81je.cloudfront.net/okdataengine/appmedia/images/117/117542/Robbers%20Cave%20Oct%202019_LD_5283.jpeg.jpg,Natural formation,,30.3255646,78.0436813
Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,,Ancient Indian Period.,6,4.5,0,No,,Religious,Yes,0.11,All,https://upload.wikimedia.org/wikipedia/commons/6/66/Cave_Temple_of_Lord_Amarnath.jpg,Natural cave,,33.74611,75.1854475
Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,,1837,1.5,4.5,10,Yes,Friday,Historical,Yes,0.18,Morning,https://upload.wikimedia.org/wikipedia/commons/e/e8/Hazarduari01_debaditya_chatterjee.jpg,Neoclassical,,24.1745993,88.2721335
Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,,1887,1,4.5,20,Yes,Friday,Historical,Yes,0.09,All,https://upload.wikimedia.org/wikipedia/commons/8/81/The_Cooch_Behar_Palace_or_the_Cooch_Behar_Rajbari%2C_Cooch_Behar_District%2C_West_Bengal%2C_India_01.jpg,Renaissance Revival,,26.2559197,89.4201143
Eastern,Odisha,Cuttack,Barabati Fort,Fort,,-987,1,4.5,0,Yes,,Historical,Yes,0.13,All,https://upload.wikimedia.org/wikipedia/commons/9/95/Entrance_of_Barabati_fort.jpg,Kalingan,,20.4686,85.8792
Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,,12th century,1.5,4.5,0,No,,Historical,Yes,0.015,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/4a/20/f2/grand-canyon-of-india.jpg?w=1200&h=1200&s=1,Vijayanagara,,14.4752936,78.8216861
Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,,1807,2,4.5,60,No,,Natural Wonder,Yes,0.31,Afternoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/9d/80/6a/borra-caves.jpg?w=1200&h=1200&s=1,Natural formation,,17.6935526,83.2921297
North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,,Late 16th century (during the Koch kingdom period).,1,4.5,0,No,,Religious,Yes,0.9,All,https://upload.wikimedia.org/wikipedia/commons/c/c7/Hagriva_Madhava_Temple_side_view2.jpg,Assamese,,26.2359766,91.542348
North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,,1901,1.5,4.5,10,Yes,Monday,Historical,Yes,0.035,All,https://upload.wikimedia.org/wikipedia/commons/c/c8/Ujjayanta_palace_Tripura_State_Museum_Agartala_India.jpg,Indo-Saracenic,,23.8312377,91.2823821
Western,Daman and Diu,Diu,Naida Caves,Cave,,10th century CE.,1,4.5,0,No,,Nature,Yes,0.6,Afternoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a3/00/53/img-20161116-140018-largejpg.jpg?w=1200&h=-1&s=1,Natural caves,,20.7159534,70.9785005
Southern,Telangana,Hyderabad,Golconda Fort,Fort,,1600,2,4.4,30,Yes,,Historical,Yes,1.2,Morning,https://upload.wikimedia.org/wikipedia/commons/5/56/Golconda_Fort_005.jpg,Deccani Architecture,,17.360589,78.4740613
Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,,1951,2,4.4,20,Yes,,Historical,Yes,0.67,All,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Salar_Jung_Museum%2C_Hyderabad%2C_India.jpg/800px-Salar_Jung_Museum%2C_Hyderabad%2C_India.jpg,European,,17.360589,78.4740613
Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,,1600,1,4.4,25,Yes,,Historical,Yes,0.2,Morning,https://upload.wikimedia.org/wikipedia/commons/0/08/Qutb_Shahi_Tomb_5.jpg,Deccan Architecture,,17.360589,78.4740613
